image_path,mask_path,series,split
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1706.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1706.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1730.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1730.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1740.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1740.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1755.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1755.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1791.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1791.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1806.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1806.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1810.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1810.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1811.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1811.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1815.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1815.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1842.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1842.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1853.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1853.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1854.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1854.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1859.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1859.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1956.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1956.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1965.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1965.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1978.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1978.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2067.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2067.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2247.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2247.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2269.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2269.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2272.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2272.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2276.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2276.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2292.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2292.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2295.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2295.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2318.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2318.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2319.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2319.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2320.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2320.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2324.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2324.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2336.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2336.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2342.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2342.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2368.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2368.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2376.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2376.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2378.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2378.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2410.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2410.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2412.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2412.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2423.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2423.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2447.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2447.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2451.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2451.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2454.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2454.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2459.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2459.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2468.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2468.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2503.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2503.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2504.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2504.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2506.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2506.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2608.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2608.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2627.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2627.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2630.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2630.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2652.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2652.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2689.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2689.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2733.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2733.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2894.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2894.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2909.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2909.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2918.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2918.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2919.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2919.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2949.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2949.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2952.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2952.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2956.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2956.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2958.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2958.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_2990.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_2990.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_103.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_103.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_113.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_113.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_158.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_158.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_24.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_24.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_26.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_26.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_297.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_297.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_36.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_36.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_370.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_370.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_396.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_396.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_54.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_54.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_56.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_56.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121806070027VAS_slice_82.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121806070027VAS_slice_82.png,202201121806070027VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121807410028VAS_slice_693.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121807410028VAS_slice_693.png,202201121807410028VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121807410028VAS_slice_700.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121807410028VAS_slice_700.png,202201121807410028VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4687.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4687.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4699.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4699.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4705.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4705.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4710.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4710.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4736.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4736.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4764.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4764.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4767.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4767.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4774.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4774.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4813.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4813.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_4843.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_4843.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5215.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5215.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5339.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5339.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5415.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5415.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5440.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5440.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5480.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5480.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5502.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5502.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5505.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5505.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5516.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5516.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5525.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5525.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5526.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5526.png,202201121808450029VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121808450029VAS_slice_5575.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121808450029VAS_slice_5575.png,202201121808450029VAS,train
